,Titre,Company,Location,Salary,Summaries
0,Alternance - Data Scientist H/F,Malakoff Humanis,Paris (75),750 € - 1 500 € par mois,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
1,Data Scientist H/F,CCM Benchmark Group,Asnières-sur-Seine (92),1 500 € par mois,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
2,Data Analyst (F/H),MODULO,Châtillon (92),50 000 € - 60 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
3,Développeur(se) Python services B2B H/F,Esmoz,Paris 18e (75),40 000 € - 55 000 € par an,"Au sein de l'équipe Connaissance Client, composée de 5 data scientists, de la direction Marketing et Expérience Client Entreprises, vos missions auront pour but…"
4,Alternance - Assistant Data Analyst/PMO H/F,Gandi,Paris (75),750 € - 1 500 € par mois,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
5,Développeur confirmé H/F,VONA,Levallois-Perret (92),800 € par mois,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
6,Data Analyst·(e) - Stagiaire H/F,Joko,Paris 9e (75),2 900 € - 3 400 € par mois,"Stagiaire data analyst(e) h/f ou similaire: 1 an (Souhaité).
Depuis 2010, VONA Consulting, cabinet de conseil indépendant, accompagne les entreprises dans leur…"
7,CDI Data Analyst - Scientist - Connaissance Client F/H,FORTIA Financial Solutions,Gennevilliers (92),50 000 € par an,"Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs.
Tu seras responsable du développement d'algorithmes de…"
8,DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Maisons du Monde,Paris 18e (75),45 000 € - 70 000 € par an,"Proposer de nouveaux usecase data driven permettant de moderniser la gestion de nos abonnés.
Développer les scores et segmentations nécessaires à notre…"
9,BUSINESS ANALYST H/F,Groupe CANAL+,Paris (75),50 000 € par an,"Business analyst h/f ou similaire: 5 ans (Souhaité).
Fortia Financial Solutions* est une Fintech créée en 2012 et basée sur Paris."
10,Alternant(e) Data Analyst H/F,BCA Expertise,Île-de-France,6 € par mois,"Organiser la collecte des données métier : data exploration (outils et scripts).
Contribuez à révolutionner la gestion de projet en utilisant vos connaissances…"
11,Data Scientist H/F,Sarenza,Paris (75),750 € - 1 500 € par mois,"Approfondir les nouvelles techniques de traitements des plateformes big data.
Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas…"
12,Consultant Risk Data Analyst / Data Scientist (H/F),NEOBRAIN,Châtillon (92),750 € - 1 500 € par mois,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
13,Data Analyst - Business Intelligence H/F,One2Team,Paris 9e (75),45 000 € - 70 000 € par an,"Le programme data du groupe Maisons du Monde a presque quatre ans déjà, et se compose d’une trentaine de personnes (data scientists, data analysts, data…"
14,Data Scientist – Machine Learning – Artificial Intelligence,Inex Circular,Levallois-Perret (92),6 € par mois,"Data scientist h/f : 2 ans (Souhaité).
En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et…"
15,Data scientist (h/f) - Alternance,Malakoff Humanis,Noisy-le-Sec (93),35 000 € - 50 000 € par an,"Vous êtes titulaire d’un Bac+4/5 (Ecole de commerce ou Université), vous avez une première expérience d’au moins 2 ans en tant que data analyst."
16,Développeur 3D - Unity,OpenClassrooms,Asnières-sur-Seine (92),750 € - 1 500 € par mois,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
17,Business Developer – Stage de fin d’études – Juillet 2020,Groupe Pierre & Vacances - Center Parcs,Levallois-Perret (92),40 000 € - 60 000 € par an,"Chez Gandi, nous offrons un cloud public :
Du IaaS : déploiement de machines virtuelles à la demande.
Nous recherchons deux personnes pour étoffer l’équipe…"
18,Développeur Junior en alternance (H/F),Stormshield,Paris 2e (75),1 500 € - 1 700 € par mois,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
19,Data Scientist H/F,Stormshield,Paris 9e (75),35 000 € - 50 000 € par an,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
20,Chief Opération Officer - MAIF START UP CLUB H/F,Malakoff Humanis,Paris 18e (75),35 000 € - 50 000 € par an,"Au sein de l'équipe Connaissance Client, composée de 5 data scientists, de la direction Marketing et Expérience Client Entreprises, vos missions auront pour but…"
21,Data Science,Groupement Les Mousquetaires,Gennevilliers (92),3 736 € par mois,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
22,Software Developer Full Stack (JEE/Angular),API AND YOU,Paris (75),40 000 € - 60 000 € par an,"Les experts Antilop adressent des challenges nombreux : répondre à des temps forts business (soldes, périodes de ventes privées), accompagner des acteurs qui n…"
23,Alternance - Data Scientist H/F,Esmoz,Levallois-Perret (92),42 000 € par an,"Les données gérées par les activités de Société Générale constituent un actif stratégique, placé au centre de la stratégie digitale du Groupe."
24,Data Scientist / Data Analyst,Bouygues Telecom,Châtillon (92),40 000 € - 70 000 € par an,"DriveQuant est une start-up issue d’IFP Energies nouvelles fondée en février 2017 après un an et demi d’incubation.
Analyse et structuration de database."
25,Data Analyst H/F,Inex Circular,Paris (75),35 000 € - 50 000 € par an,"Une connaissance d’Excel, de SQL et d’outils de business intelligence.
Tu est convaincu que la vérité se cache toujours quelque part dans la data."
26,Data Analyst GreenTech [STAGE – 4 à 6 MOIS],Ledger,Île-de-France,35 000 € - 50 000 € par an,"Notre équipe est aujourd’hui composée de 2 Data Scientists, 2 Data Engineers et 2 développeurs Python, et vise à être complétée dans l’année par un Data…"
27,ASSISTANT DATA SCIENTIST - STAGE 3 MOIS H/F,Deloitte,Paris 9e (75),42 000 € - 50 000 € par an,"Amélioration de l’outil iNex Sourcing en collaboration avec les développeurs.
On te forme aux technologies de collecte et traitement de data."
28,CDI - Data Analyst Géomarketing Broadband F/H - Arcueil,BNP Paribas,Paris 9e (75),35 000 € - 50 000 € par an,"Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs.
Tu seras responsable du développement d'algorithmes de…"
29,Consultant business intelligence : BI / BO (F/H),Elitech Conseil,Gennevilliers (92),42 000 € - 50 000 € par an,"Le programme data du groupe Maisons du Monde a presque quatre ans déjà, et se compose d’une trentaine de personnes (data scientists, data analysts, data…"
30,Data Scientist H/F,DriveQuant,Paris 18e (75),3 736 € par mois,"Nous cherchons à renforcer cette équipe d'un stagiaire développeur/data scientist passionné(e) !
Nous les aidons aussi bien sur les aspects techniques que sur…"
31,Développeur Data Science H/F,Orange,Levallois-Perret (92),25 000 € par an,"Tu seras épaulé pour les aspects les plus techniques par notre équipe de Data Scientists et de développeurs.
Nos clients sont en pleine transformation digitale…"
32,Alternant(e) Data Scientist H/F,Stack Elite,Paris 9e (75),35 000 € - 50 000 € par an,"Vous êtes développeur de projets applicatifs produits et plateformes destinés à nos clients.
Vous interviendrez, aux côtés de votre Lead Dev référent, à la…"
33,Data Scientist Analyst M/F,implid,Gennevilliers (92),42 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
34,Business Developer – Stage de fin d’études – Juillet 2020,Danone,Levallois-Perret (92),40 000 € - 60 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
35,Développeur Junior en alternance (H/F),OpenClassrooms,Paris 9e (75),3 736 € par mois,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
36,Alternance - Assistant Data Analyst/PMO H/F,Groupe Kiosque,Asnières-sur-Seine (92),35 000 € - 50 000 € par an,"ALTERNANCE - DÉVELOPPEUR H/F (NUMÉRO DE L'EMPLOI : !A_PF_DSI20_0037).
Développer les fonctionnalités des applications.
Votre niveau d’anglais est avancé."
37,Développeur NodeJS H/F,Wolters Kluwer,Levallois-Perret (92),3 736 € par mois,"Titulaire d'un Bac +3/5 dans le domaine informatique, vous justifiez d'une première expérience significative sur des fonctions liées aux technologies orientées …"
38,Alternance - Assistant Data Analyst/PMO H/F,INSTA,Paris 2e (75),25 000 € par an,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
39,Développeur 3D - Unity,SQLI,Paris (75),25 000 € par an,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
40,Alternance - Data Scientist H/F,Esmoz,Paris 9e (75),550 € par mois,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
41,Développeur Java Alfresco,ASSU2000,Levallois-Perret (92),3 736 € par mois,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
42,Data Scientist H/F,Groupement Les Mousquetaires,Gennevilliers (92),35 000 € - 50 000 € par an,"Approfondir les nouvelles techniques de traitements des plateformes big data.
Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas…"
43,Business Developer – Stage de fin d’études – Juillet 2020,Biron,Paris 9e (75),3 736 € par mois,"Ecole d’ingénieur ou Master avec spécialisation data/tech ou statistique.
Nous traitons les data venant du web social à l’aide nos suits logiciels (Radarly,…"
44,Business & Data Analyst F/H,Fortuneo,Paris 2e (75),35 000 € - 50 000 € par an,"Profil recherché De formation supérieure (Bac+3 ou plus) avec une spécialisation en Parcours informatique orienté data/ Statistiques/ analyste de données,..."
45,Alternant - Appui Data Scientist (H/F),One2Team,Paris (75),35 000 € - 50 000 € par an,"As one of the world's largest independent financial advisory groups, we know that it takes a distinct perspective to make a meaningful difference to our clients…"
46,Consultant business intelligence : BI / BO (F/H),Pierre Fabre,Levallois-Perret (92),3 736 € par mois,"Présentation de la Direction générale.
La Banque de France recrute un Statisticien - Data Scientist H/F dans le cadre dune création de poste."
47,Data Scientist H/F,Fortuneo,Levallois-Perret (92),25 000 € par an,"Stagiaire data scientist h/f ou similaire: 1 an (Souhaité).
Engineering school or Bac+5 internship.
Statistics and applied maths: problem modeling, data…"
48,Opinion Data Analyst stagiaire H/F,BCA Expertise,Asnières-sur-Seine (92),35 000 € - 50 000 € par an,"Diplômé(e) en Data Science ou en Statistiques, vous cherchez un poste où vos compétences sont valorisées.
Vous souhaitez travailler en équipe et évoluer dans…"
49,Stage - Data Analyst (F/H),Ledger,Gennevilliers (92),3 736 € par mois,"Tu as une première expérience en data ou en BI;
Mettre en place et maintenir une documentation complète des données contenues dans notre data warehouse;"
50,Data Analyst (F/H),Linkfluence,Paris 9e (75),650 € - 700 € par jour,"Une connaissance d’Excel, de SQL et d’outils de business intelligence.
Tu est convaincu que la vérité se cache toujours quelque part dans la data."
51,Business Intelligence Analyst,Stack Elite,Paris 9e (75),25 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
52,DATA ANALYST - H/F,La Banque de France,Paris 2e (75),35 000 € - 50 000 € par an,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
53,Consultant(e) fonctionnel en Business Intelligence f/h,Groupe CANAL+,Levallois-Perret (92),3 736 € par mois,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
54,Développeur Junior en alternance (H/F),Novencia,Paris (75),1 539 € par mois,"La formation « Développeur d’Application Python » en alternance*.
OpenClassrooms propose des formations diplômantes dans des secteurs qui recrutent !"
55,Développeur WordPress / front-end confirmé,Malakoff Humanis,Levallois-Perret (92),25 000 € par an,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
56,Software Developer Full Stack (JEE/Angular),Malakoff Humanis,Asnières-sur-Seine (92),35 000 € - 50 000 € par an,"ALTERNANCE - DÉVELOPPEUR H/F (NUMÉRO DE L'EMPLOI : !A_PF_DSI20_0037).
Développer les fonctionnalités des applications.
Votre niveau d’anglais est avancé."
57,(ALTERNANCE) Développeur PHP/Symfony - Chez l’un de nos partenaires,Stormshield,Gennevilliers (92),35 000 € - 90 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
58,Alternance - Assistant Data Analyst/PMO H/F,Biron,Paris (75),806 € par semaine,"Faire de la veille continue sur les meilleures pratiques de business intelligence.
Développer des tableaux de suivi et reporting clairs et qui répondent aux…"
59,Développeur Junior en alternance (H/F),OpenClassrooms,Châtillon (92),3 736 € par mois,"Vos missions seront les suivantes : - Analyser l’organisation et les processus des périmètres audités, - Contribuer au développement d’outils de data analytics,…"
60,Officier commissionné - Data Engineer H/F,360LEARNING,Noisy-le-Sec (93),25 000 € par an,"De formation Business/Data (école de commerce, d’ingénieur, parcours universitaire…), vous bénéficiez de premières expériences dans le domaine de la data pour…"
61,Alternance – Client Intelligence & Data - CHANEL EUROPE,Groupe BPCE,Paris 18e (75),35 000 € - 50 000 € par an,"Vous êtes autonome, data-driven et reconnu pour votre capacité à produire un contenu (des reportings et analyses) précis et synthétique."
62,Stagiaire Data Scientist,Chanel,Levallois-Perret (92),55 000 € - 65 000 € par an,"Vous avez une forte appétence pour la data.
Fort d’une première expérience significative sur des fonctions similaires vous êtes curieux des sujets business et…"
63,Data Analyst (H/F),Fretbay,Paris 9e (75),40 000 € - 60 000 € par an,"Kaisens data est éditeur logiciel spécialisé en Data science / Machine Learning / TextMining et possédant une branche de conseil, recherche un stagiaire en Data…"
64,Stagiaire Data Scientist,IZI Solutions,Paris 9e (75),50 000 € - 70 000 € par an,Suivre et analyser la performance du business Mode en Europe : diffusion quotidienne au management et élaboration d'analyses hebdomadaires et mensuelles.
65,STAGE - DATA & BUSINESS ANALYST,Kaisens Data,Paris 2e (75),40 000 € - 55 000 € par an,"De traduire les problématiques métiers en problème data science/IA,.
Leader français en gestion et acquisition de créances, iQera accompagne les grandes…"
66,Business & Data Analyst F/H,Chanel,Paris (75),3 736 € par mois,"Rejoignez notre équipe data riche en compétences, vivante et éclectique qui regroupe data scientists, engineers, BI et analysts."
67,Data Scientist Senior - Direction Stratégie Data et IA (H/F),DSOgroup,Asnières-sur-Seine (92),25 000 € par an,"Consultant data scientist f/h ou similaire: 1 an (Souhaité).
Participation à des missions data plus transverses : gestion de projet, expertise fonctionnelle…"
68,CDI Data Analyst - Scientist - Connaissance Client F/H,Happn,Levallois-Perret (92),35 000 € - 50 000 € par an,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
69,Consultant Data scientist F/H,INEOX,Levallois-Perret (92),3 736 € par mois,"Dans le cadre de cette alternance, l'analyste participera à l'ensemble de ces activités en travaillant notamment sur les points suivants :"
70,Data Analyst (F/H),Groupement Les Mousquetaires,Paris 2e (75),25 000 € par an,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant."
71,Webmarketeur – Développeur multimédia h/f - Alternance,Groupe Kiosque,Paris 9e (75),35 000 € - 50 000 € par an,"Webmarketeur – développeur multimédia ou similaire: 1 an (Souhaité).
En tant qu'apprenti webmarketeur/développeur multimédia en alternance, vous aurez la charge…"
72,Data Scientist H/F,Antilop,Rueil-Malmaison (92),45 000 € - 55 000 € par an,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
73,Business Developer – Stage de fin d’études – Juillet 2020,Esmoz,Paris 9e (75),3 736 € par mois,"Développeur JAVA: 3 ans (Requis).
Développeur sur Alfresco: 2 ans (Requis).
_La société IT SERVICES SYSTEM est une ESN spécialisée dans l'accompagnement…"
74,(ALTERNANCE) Développeur Frontend - Chez l’un de nos partenaires,Malakoff Humanis,Gennevilliers (92),25 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
75,Alternance - Data Scientist H/F,Antilop,Levallois-Perret (92),2 800 € - 3 100 € par mois,"ALTERNANCE - DÉVELOPPEUR H/F (NUMÉRO DE L'EMPLOI : !A_PF_DSI20_0037).
Développer les fonctionnalités des applications.
Votre niveau d’anglais est avancé."
76,Data Scientist H/F,Groupement Les Mousquetaires,Paris 2e (75),2 106 € par mois,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
77,Développeur WordPress / front-end confirmé,ASSU2000,Paris 9e (75),30 000 € - 35 000 € par an,"Dans le cadre de ses développements, le DataLab du groupe souhaite confier à 1 Data Scientist, venant en renforcement de son équipe data science, la mission de…"
78,Business Developer – Stage de fin d’études – Juillet 2020,Esmoz,Rueil-Malmaison (92),2 000 € - 2 200 € par mois,"La mission du/ de la Data scientist recherchée s’inscrit dans le cadre de ces projets.
Et avec les Business Owners des produits (métiers), le(la) Data scientist…"
79,Analyste Développeur Éditique (H/F),Entropy,Paris 9e (75),2 000 € - 2 500 € par mois,"…maîtriserez la boîte à outils d’un/e data analyst évoluant dans le domaine de la communication et du marketing.
Passion pour la recherche et l’analyse."
80,DATA SCIENTIST INTERN,Fortuneo,Gennevilliers (92),28 000 € - 40 000 € par an,"Business analyst ou similaire: 2 ans (Souhaité).
\* Vous avez une bonne compréhension de notre business.
FairMoney est en train de construire la première banque…"
